ActionType,ActionParameters,duration,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 13,1,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 15,1,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 17,1,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 18,0,,,,,,
EditNotes,VAST32P_revision_28_July_18_8:22_AM.patch,120,,,,,,
EditNotes,VAST32P_revision_31_July_18_8:24_AM.patch,0,,,,,,
EditNotes,VAST32P_revision_32_July_18_8:34_AM.patch,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,75,,,,,,
Search,Karel from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,Karel from 1982-01-01 to 2015-01-01 page 0,11,,,,,,
GetDetail,Article 121,68,,,,,,
Search,Elian Karel from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Elian Karel from 1982-01-01 to 2015-01-01 page 0,33,,,,,,
AddElement,Elian Karel,3,,,,,,
Search,Elian Karel from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Elian Karel from 1982-01-01 to 2015-01-01 page 0,12,,,,,,
AddElement,Elian Kare (D),2,,,,,,
Search,Elian Karel from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Elian Karel from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Elian Karel from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,Elian Karel from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,Elian Karel from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,Elian Karel from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
AddConnection,"Elian Karel, Elian Kare (D)",2,,,,,,
AddConnection,"Elian Karel, Elian Kare (D)",2,,,,,,
AddConnection,"Elian Karel, Elian Kare (D)",2,,,,,,
Search,Elian Karel from 1982-01-01 to 2015-01-01 page 0,39,,,,,,
Search,Elian Karel from 1982-01-01 to 2015-01-01 page 0,34,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 0,13,,,,,,
GetDetail,Article 133,7,,,,,,
GetDetail,Article 302,21,,,,,,
AddElement,Vann (?),5,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 0,16,,,,,,
GetDetail,Article 198,5,,,,,,
GetDetail,Article 198,3,,,,,,
GetDetail,Article 164,23,,,,,,
GetDetail,Article 253,37,,,,,,
